id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1747533746100,0.318128618,0.2892078449999999,1.0622592,0.500407995,-1.149952975,0.0455400649999999
2,1747533746110,0.2483282449999999,-0.000854195,0.91972975,1.183775125,-1.18856881,-0.72411356
3,1747533746120,-0.0841997525,-0.37340759,0.8967883999999999,2.08978255,-0.32570461,-1.0538129
4,1747533746130,-0.08956901,0.05198419,1.2388345,2.5848641,-0.18961707,-0.8341021
5,1747533746140,-0.260165,0.49446,1.5302389,3.0850058,0.022903185,-0.660464
6,1747533746150,-0.8083176,0.76243484,1.8440965,3.2953956,0.1965413,-0.18695392
7,1747533746160,-0.68311626,0.6079466,2.0144486,3.4770231,-1.7715348,0.6348976
8,1747533746170,-0.29042813,0.10055158,1.0025872,3.4344127,-2.1278658,1.1185277
9,1747533746180,-0.352052565,0.0855420625,0.527407725,3.1707597,-1.4887071,1.3741912
10,1747533746190,-0.05662128,0.18255483,-0.873725,0.92092115,-0.60293967,0.7888283
11,1747533746200,-0.06858008,0.08029483,-1.1997855,-0.561927,-0.10439592,0.025033714
12,1747533746210,-0.123126875,0.068458055,-1.06213717,-1.3701964,0.09321064,-0.395745743
13,1747533746220,-0.27993366,0.018060237,-0.64309084,-3.4471958,1.0982877,-1.613343
14,1747533746230,-0.38463423,-0.00976229,-0.460536,-4.2120557,1.9323897,-2.4138892
15,1747533746240,-0.7475473,0.30116665,0.09127741,-4.2530684,2.1859226,-3.496198
16,1747533746250,-0.7817154,0.44345203,0.7048373,-3.1345406,1.9089539,-3.5483959
17,1747533746260,-0.78928115,0.492873615,0.92912595,-2.23519115,1.7086842,-3.45971265
18,1747533746270,-0.7864744850000001,0.59232693,1.11888045,-0.38242998,1.1584751,-3.25997555
19,1747533746280,-0.53863436,0.4837215,0.6233222,3.3060482,-0.7185209,-3.145726
20,1747533746290,-0.4583395,0.40733153,0.4275883,4.0309606,-0.9555422,-3.3273535
21,1747533746300,-0.3956168,0.43637437,0.294089,4.4714475,-0.690824,-3.6517265
22,1747533746310,-0.36462155,0.592571,0.2421048,4.718589,-0.03834952,-4.230165
23,1747533746320,-0.49738866,0.8659151,0.268463,4.7175236,0.5550028,-4.6568036
24,1747533746330,-0.9342511,1.3118078,0.57280236,4.52258,1.5606124,-4.8837047
25,1747533746340,-0.9342511,1.3118078,0.57280236,4.5119276,1.7678064,-4.736166
26,1747533746350,-1.21223235,1.5450044,0.89337157,4.5119276,1.7678064,-4.736166
27,1747533746360,-1.2878901,1.6190758,1.0157663,4.5119276,1.7678064,-4.736166
28,1747533746370,-1.38331655,1.6176114,1.5171819,6.9617697,0.2237055299999999,-4.597415
29,1747533746380,-1.3496367,1.5319474,1.5497636,7.9980054,-0.43356264,-4.8107343
30,1747533746390,-1.6608096,1.5656272,1.3281596,8.52105,-0.90654004,-5.0424294
31,1747533746400,-1.8079761,1.649583,1.1421878,8.784171,-0.95927066,-5.244297
32,1747533746410,-1.8821694,1.7699032,0.9855032,8.677112,-0.42344263,-5.416337
33,1747533746420,-2.2294628000000003,2.0572806,0.85688502,6.9519157,1.2245215,-5.021124
34,1747533746430,-2.8869534,2.4737642,0.8236932,5.6879797,2.02347,-4.3148537
35,1747533746440,-2.9899454,2.344658,1.018939,4.5007424,2.766492,-3.5808864
36,1747533746450,-3.0385127,2.084981,1.1975889,3.5254927,3.3140378,-2.9987195
