id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1747401981850,-0.07,0.95,0.35,-79.22,-64.58,277.1
1,1747401981860,,,,,,
2,1747401981870,-0.07,0.95,0.35,-79.22,-64.58,277.1
3,1747401981880,-0.07,0.95,0.35,-79.22,-64.58,277.1
4,1747401981890,-0.39,0.66,0.08,-35.03,-53.77,222.53
5,1747401981900,-0.39,0.66,0.08,-35.03,-53.77,222.53
6,1747401981910,-0.39,0.66,0.08,-35.03,-53.77,222.53
7,1747401981920,-0.87,0.31,-0.2,-6.53,-3.54,139.1
8,1747401981930,-0.87,0.31,-0.2,-6.53,-3.54,139.1
9,1747401981940,-0.87,0.31,-0.2,-6.53,-3.54,139.1
10,1747401981950,-1.19,-0.3,-0.51,-12.27,-18.31,85.63
11,1747401981960,-1.19,-0.3,-0.51,-12.27,-18.31,85.63
12,1747401981970,-1.19,-0.3,-0.51,-12.27,-18.31,85.63
13,1747401981980,-1.69,-0.43,-0.85,-12.27,-18.31,85.63
14,1747401981990,-1.69,-0.43,-0.85,-28.87,172.49,3.54
15,1747401982000,-1.69,-0.43,-0.85,-28.87,172.49,3.54
16,1747401982010,-1.69,-0.43,-0.85,-28.87,172.49,3.54
17,1747401982020,-1.69,-0.43,-0.85,-28.87,172.49,3.54
18,1747401982030,-1.62,-0.34,-1.0,-124.94,192.75,-97.72
19,1747401982040,-1.62,-0.34,-1.0,-124.94,192.75,-97.72
20,1747401982050,-1.62,-0.34,-1.0,-124.94,192.75,-97.72
21,1747401982060,-0.74,-0.45,-0.95,-13.37,278.5,-256.96
22,1747401982070,-0.74,-0.45,-0.95,-13.37,278.5,-256.96
23,1747401982080,-0.74,-0.45,-0.95,-13.37,278.5,-256.96
24,1747401982090,-0.74,-0.45,-0.95,-13.37,278.5,-256.96
25,1747401982100,-0.66,0.5,0.15,-13.37,278.5,-256.96
26,1747401982110,-0.66,0.5,0.15,182.25,339.48,-378.78
27,1747401982120,-0.66,0.5,0.15,182.25,339.48,-378.78
28,1747401982130,-0.66,0.5,0.15,182.25,339.48,-378.78
29,1747401982140,-0.03,2.05,1.12,280.64,174.87,-351.2
30,1747401982150,-0.03,2.05,1.12,280.64,174.87,-351.2
31,1747401982160,-0.03,2.05,1.12,280.64,174.87,-351.2
32,1747401982170,-0.03,2.05,1.12,280.64,174.87,-351.2
33,1747401982180,-0.01,1.85,1.0,190.61,204.41,-402.65
34,1747401982190,-0.01,1.85,1.0,190.61,204.41,-402.65
35,1747401982200,-0.01,1.85,1.0,190.61,204.41,-402.65
36,1747401982210,-0.01,1.85,1.0,190.61,204.41,-402.65
37,1747401982220,-0.04,2.01,0.79,299.87,147.34,-386.05
38,1747401982230,-0.04,2.01,0.79,299.87,147.34,-386.05
39,1747401982240,-0.04,2.01,0.79,299.87,147.34,-386.05
40,1747401982250,-0.04,2.01,0.79,299.87,147.34,-386.05
