id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1747402681990,1.03,-0.11,0.26,19.78,5.49,-0.37
1,1747402682000,1.03,-0.11,0.26,19.78,5.49,-0.37
2,1747402682010,1.02,-0.06,0.31,5.19,-0.79,4.09
3,1747402682020,1.02,-0.06,0.31,5.19,-0.79,4.09
4,1747402682030,1.02,-0.06,0.31,5.19,-0.79,4.09
5,1747402682040,1.24,-0.09,0.39,7.87,-10.74,5.19
6,1747402682050,1.24,-0.09,0.39,7.87,-10.74,5.19
7,1747402682060,1.24,-0.09,0.39,7.87,-10.74,5.19
8,1747402682070,1.24,-0.09,0.39,7.87,-10.74,5.19
9,1747402682080,1.27,-0.06,0.38,14.77,6.23,8.3
10,1747402682090,1.27,-0.06,0.38,14.77,6.23,8.3
11,1747402682100,1.27,-0.06,0.38,14.77,6.23,8.3
12,1747402682110,1.27,-0.06,0.38,14.77,6.23,8.3
13,1747402682120,1.31,-0.1,0.33,-10.44,-19.78,45.84
14,1747402682130,1.31,-0.1,0.33,-10.44,-19.78,45.84
15,1747402682140,1.31,-0.1,0.33,-10.44,-19.78,45.84
16,1747402682150,1.31,-0.1,0.33,-10.44,-19.78,45.84
17,1747402682160,1.3,-0.12,0.27,-12.94,-10.01,78.55
18,1747402682170,1.3,-0.12,0.27,-12.94,-10.01,78.55
19,1747402682180,1.3,-0.12,0.27,-12.94,-10.01,78.55
20,1747402682190,1.25,-0.16,0.27,-22.95,-0.8250000000000002,90.79
21,1747402682200,1.2,-0.2,0.27,-32.96,8.36,103.03
22,1747402682210,1.2,-0.2,0.27,-32.96,8.36,103.03
23,1747402682220,1.2,-0.2,0.27,-32.96,8.36,103.03
24,1747402682230,1.14,-0.23,0.28,-32.96,8.36,103.03
25,1747402682240,1.08,-0.26,0.29,-28.26,31.8,103.33
26,1747402682250,1.08,-0.26,0.29,-28.26,31.8,103.33
27,1747402682260,1.08,-0.26,0.29,-28.26,31.8,103.33
28,1747402682270,1.08,-0.26,0.29,-28.26,31.8,103.33
29,1747402682280,1.04,-0.25,0.29,-42.85,7.32,118.35
30,1747402682290,1.04,-0.25,0.29,-42.85,7.32,118.35
31,1747402682300,,,,,,
32,1747402682310,0.96,-0.33,0.28,-42.85,7.32,118.35
33,1747402682320,0.96,-0.33,0.28,-41.26,-4.21,139.77
34,1747402682330,0.96,-0.33,0.28,-41.26,-4.21,139.77
35,1747402682340,0.96,-0.33,0.28,-41.26,-4.21,139.77
36,1747402682350,0.87,-0.3,0.2,-37.29,25.94,144.1
37,1747402682360,0.87,-0.3,0.2,-37.29,25.94,144.1
38,1747402682370,0.87,-0.3,0.2,-37.29,25.94,144.1
39,1747402682380,0.87,-0.3,0.2,-37.29,25.94,144.1
40,1747402682390,0.65,-0.44,0.18,-60.3,7.87,140.14
41,1747402682400,0.65,-0.44,0.18,-60.3,7.87,140.14
42,1747402682410,,,,,,
43,1747402682420,0.65,-0.44,0.18,-60.3,7.87,140.14
44,1747402682430,0.59,-0.57,0.1,-50.9,2.26,141.3
45,1747402682440,0.59,-0.57,0.1,-50.9,2.26,141.3
