id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1747401408320,0.44,-0.06,-1.01,13.24,-18.37,-14.04
1,1747401408330,,,,,,
2,1747401408340,0.44,-0.06,-1.01,13.24,-18.37,-14.04
3,1747401408350,0.45,-0.05,-1.03,4.52,-23.68,-4.52
4,1747401408360,0.45,-0.05,-1.03,4.52,-23.68,-4.52
5,1747401408370,0.45,-0.05,-1.03,4.52,-23.68,-4.52
6,1747401408380,0.55,-0.07,-1.05,4.52,-23.68,-4.52
7,1747401408390,0.55,-0.07,-1.05,9.95,-7.51,-10.38
8,1747401408400,0.55,-0.07,-1.05,9.95,-7.51,-10.38
9,1747401408410,0.525,-0.05,-1.11,24.505000000000003,-5.859999999999999,-15.015
10,1747401408420,,,,,,
11,1747401408430,0.5,-0.03,-1.17,39.06,-4.21,-19.65
12,1747401408440,0.5,-0.03,-1.17,39.06,-4.21,-19.65
13,1747401408450,0.47,-0.03,-1.08,39.06,-4.21,-19.65
14,1747401408460,0.47,-0.03,-1.08,9.64,-7.14,-19.35
15,1747401408470,0.47,-0.03,-1.08,9.64,-7.14,-19.35
16,1747401408480,0.47,-0.03,-1.08,9.64,-7.14,-19.35
17,1747401408490,0.4599999999999999,-0.095,-1.0950000000000002,0.4850000000000003,-4.18,-9.155
18,1747401408500,0.45,-0.16,-1.11,-8.67,-1.22,1.04
19,1747401408510,0.45,-0.16,-1.11,-8.67,-1.22,1.04
20,1747401408520,0.45,-0.16,-1.11,-8.67,-1.22,1.04
21,1747401408530,0.45,-0.13,-1.18,-0.43,-26.49,24.54
22,1747401408540,0.45,-0.13,-1.18,-0.43,-26.49,24.54
23,1747401408550,0.45,-0.13,-1.18,-0.43,-26.49,24.54
24,1747401408560,0.45,-0.13,-1.18,-0.43,-26.49,24.54
25,1747401408570,0.53,-0.08,-1.03,-38.27,-16.78,38.15
26,1747401408580,0.53,-0.08,-1.03,-38.27,-16.78,38.15
27,1747401408590,0.53,-0.08,-1.03,-38.27,-16.78,38.15
28,1747401408600,0.53,-0.08,-1.03,-38.27,-16.78,38.15
29,1747401408610,0.42,-0.2,-1.13,-23.93,-25.51,47.49
30,1747401408620,0.42,-0.2,-1.13,-23.93,-25.51,47.49
31,1747401408630,0.42,-0.2,-1.13,-23.93,-25.51,47.49
32,1747401408640,0.4499999999999999,-0.145,-1.09,-8.915,-16.815,34.825
33,1747401408650,0.48,-0.09,-1.05,6.1,-8.12,22.16
34,1747401408660,0.48,-0.09,-1.05,6.1,-8.12,22.16
35,1747401408670,0.48,-0.09,-1.05,6.1,-8.12,22.16
36,1747401408680,0.48,-0.09,-1.05,6.1,-8.12,22.16
37,1747401408690,0.34,-0.11,-0.93,7.26,8.18,17.64
38,1747401408700,0.34,-0.11,-0.93,7.26,8.18,17.64
39,1747401408710,0.34,-0.11,-0.93,7.26,8.18,17.64
40,1747401408720,0.36,-0.09,-0.93,4.33,2.32,16.51
41,1747401408730,0.36,-0.09,-0.93,1.4,-3.54,15.38
42,1747401408740,0.36,-0.09,-0.93,1.4,-3.54,15.38
43,1747401408750,0.36,-0.09,-0.93,1.4,-3.54,15.38
44,1747401408760,0.29,-0.1,-0.88,7.75,-2.5,26.0
45,1747401408770,0.29,-0.1,-0.88,7.75,-2.5,26.0
46,1747401408780,0.29,-0.1,-0.88,7.75,-2.5,26.0
47,1747401408790,0.29,-0.1,-0.88,7.75,-2.5,26.0
48,1747401408800,0.19,-0.11,-0.86,26.73,-1.53,26.86
49,1747401408810,0.19,-0.11,-0.86,26.73,-1.53,26.86
50,1747401408820,0.19,-0.11,-0.86,26.73,-1.53,26.86
51,1747401408830,0.19,-0.11,-0.86,26.73,-1.53,26.86
52,1747401408840,0.11,-0.15,-0.9,13.49,16.17,31.62
53,1747401408850,0.11,-0.15,-0.9,13.49,16.17,31.62
54,1747401408860,0.11,-0.15,-0.9,13.49,16.17,31.62
55,1747401408870,0.0849999999999999,-0.16,-0.89,26.095,21.085,28.87
56,1747401408880,0.06,-0.17,-0.88,38.7,26.0,26.12
57,1747401408890,0.06,-0.17,-0.88,38.7,26.0,26.12
58,1747401408900,0.06,-0.17,-0.88,38.7,26.0,26.12
59,1747401408910,0.06,-0.165,-0.86,32.015,17.945,25.205
60,1747401408920,0.06,-0.16,-0.84,25.33,9.89,24.29
61,1747401408930,0.06,-0.16,-0.84,25.33,9.89,24.29
62,1747401408940,0.06,-0.16,-0.84,25.33,9.89,24.29
63,1747401408950,0.05,-0.21,-0.85,-1.59,14.04,31.19
64,1747401408960,0.05,-0.21,-0.85,-1.59,14.04,31.19
65,1747401408970,0.05,-0.21,-0.85,-1.59,14.04,31.19
66,1747401408980,0.05,-0.21,-0.85,-1.59,14.04,31.19
67,1747401408990,0.05,-0.21,-0.85,-1.59,14.04,31.19
68,1747401409000,0.02,-0.3,-0.87,2.01,8.97,28.44
69,1747401409010,0.02,-0.3,-0.87,2.01,8.97,28.44
70,1747401409020,0.02,-0.3,-0.87,2.01,8.97,28.44
71,1747401409030,-0.05,-0.28,-0.89,4.76,17.21,23.74
72,1747401409040,-0.05,-0.28,-0.89,4.76,17.21,23.74
